iter	Passed	Remaining
0	663	662738
1	1071	534616
2	1414	470202
3	1751	436187
4	2168	431491
5	2518	417188
6	2859	405690
7	3176	393876
8	3626	399336
9	4006	396612
10	4392	394956
11	4818	396728
12	5367	407480
13	5813	409462
14	6147	403687
15	6642	408537
16	7038	407016
17	7378	402534
18	7761	400716
19	8184	401029
20	8546	398414
21	8910	396133
22	9301	395097
23	9664	393028
24	9993	389739
25	10314	386385
26	10635	383276
27	10969	380782
28	11352	380110
29	11726	379146
30	12048	376621
31	12405	375265
32	12731	373069
33	13071	371396
34	13408	369685
35	13746	368113
36	14082	366530
37	14426	365218
38	14885	366798
39	15267	366414
40	15621	365386
41	15950	363821
42	16260	361881
43	16581	360268
44	16896	358586
45	17205	356827
46	17508	355004
47	17825	353530
48	18132	351927
49	18440	350362
50	18732	348566
51	19050	347306
52	19441	347374
53	19799	346862
54	20106	345462
55	20450	344738
56	20816	344378
57	21138	343320
58	21480	342591
59	21805	341621
60	22167	341239
61	22605	341994
62	22983	341839
63	23442	342843
64	23931	344250
65	24336	344395
66	24716	344182
67	25109	344145
68	25450	343399
69	25820	343040
70	26178	342531
71	26533	341990
72	26976	342559
73	27347	342219
74	27692	341535
75	28047	340996
76	28402	340465
77	28752	339864
78	29115	339433
79	29456	338746
80	29805	338168
81	30177	337843
82	30571	337759
83	30916	337137
84	31292	336853
85	31840	338393
86	32229	338229
87	32631	338183
88	33081	338624
89	33502	338746
90	33865	338283
91	34238	337921
92	34754	338946
93	35117	338471
94	35450	337712
95	35773	336866
96	36115	336207
97	36564	336541
98	36943	336219
99	37288	335599
100	37618	334844
101	37957	334171
102	38291	333471
103	38654	333026
104	39021	332613
105	39418	332451
106	39806	332219
107	40143	331558
108	40471	330829
109	40797	330086
110	41095	329137
111	41412	328340
112	41727	327546
113	42069	326958
114	42402	326317
115	42797	326145
116	43141	325588
117	43505	325184
118	43879	324855
119	44246	324471
120	44659	324430
121	45024	324029
122	45452	324082
123	45836	323813
124	46218	323526
125	46668	323719
126	47033	323311
127	47418	323036
128	47805	322782
129	48161	322313
130	48525	321895
131	48851	321235
132	49199	320722
133	49548	320219
134	49920	319858
135	50266	319337
136	50791	319947
137	51195	319785
138	51555	319345
139	51902	318828
140	52234	318225
141	52585	317734
142	52954	317356
143	53295	316814
144	53611	316121
145	53956	315606
146	54413	315748
147	54850	315760
148	55230	315443
149	55605	315096
150	55979	314744
151	56337	314302
152	56663	313688
153	56982	313034
154	57374	312785
155	57761	312503
156	58106	311998
157	58463	311556
158	58834	311192
159	59189	310746
160	59658	310893
161	60020	310474
162	60391	310106
163	60751	309684
164	61144	309429
165	61570	309337
166	61939	308954
167	62260	308339
168	62578	307709
169	62916	307182
170	63271	306735
171	63589	306117
172	63961	305760
173	64329	305380
174	64691	304974
