model,cv_f1_mean,cv_f1_std,cv_f2_mean,cv_f2_std,luna_f1,luna_f2,luna_accuracy,luna_precision,luna_recall,luna_mcc,gpu_p95_latency_ms,gpu_qps,cpu_p95_latency_ms,cpu_qps
SimpleKeywordRules,0.9054905490549054,0.0,0.9437148217636022,0.0,0.850091407678245,0.8780211480362538,0.836,0.8072916666666666,0.8976833976833977,0.674801187171675,0.000600004568696,1930501.060027888,0.0007000053301453,2143624.1197606246
DummyClassifier,0.6824735105089457,0.0023785068503785,0.843094813683049,0.0014528758103756,0.6824769433465085,0.8430989583333334,0.518,0.518,1.0,0.0,1.012315001207753,1206.8964476466344,1.9324350025272,887.5729141457969
LogisticRegression,0.9990338164251208,0.0021604521521737,0.9984585741811176,0.0034467329132944,1.0,1.0,1.0,1.0,1.0,1.0,1.615220002349814,928.3870114112882,1.0532349999266444,1155.9818300805337
LinearSVC,0.9990338164251208,0.0021604521521737,0.9984585741811176,0.0034467329132944,1.0,1.0,1.0,1.0,1.0,1.0,1.1954050001804717,1115.9973191809104,1.10564000569866,1128.081212301778
SVC_linear,0.9990338164251208,0.0021604521521737,0.9984585741811176,0.0034467329132944,1.0,1.0,1.0,1.0,1.0,1.0,2.849589996185386,621.6309545010688,2.886664996549368,553.2367253458422
SVC_rbf,0.9990338164251208,0.0021604521521737,0.9984585741811176,0.0034467329132944,1.0,1.0,1.0,1.0,1.0,1.0,6.68802500440506,247.04219469585496,4.599334996601098,291.8235704781384
SVC_poly,1.0,0.0,1.0,0.0,0.9980732177263968,0.9992283950617284,0.998,0.9961538461538462,1.0,0.9960022227410312,6.643700005588469,210.8379564825184,7.176964998870965,192.64788254139964
SVC_sigmoid,0.9990338164251208,0.0021604521521737,0.9984585741811176,0.0034467329132944,1.0,1.0,1.0,1.0,1.0,1.0,2.393114998631061,585.1568528264755,2.52819000306772,580.9584476665855
RidgeClassifier,0.9990338164251208,0.0021604521521737,0.9984585741811176,0.0034467329132944,1.0,1.0,1.0,1.0,1.0,1.0,1.0828999984369143,1137.6771362230745,1.3255250003567198,1072.5217776896968
PassiveAggressiveClassifier,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4116150017798643,1088.40635034027,2.5783749992115186,937.2189807063114
SGDClassifier,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3725249995331976,978.11755438693,1.4370649991178652,924.9448848526634
MultinomialNB,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2622399972315177,1044.652086213489,1.7076150004868396,967.24053045395
ComplementNB,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.118524995399639,1110.9666854182617,1.4299349957582308,990.1794007932432
KNeighborsClassifier,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,40.58457999853999,37.80508657609669,25.63589499659428,46.96731903533336
MLPClassifier,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7991299981076736,841.6821186157165,1.6822949957713718,867.2850120178915
DecisionTreeClassifier,0.9904296554363372,0.0088547764541147,0.9926883051823208,0.006267883164152,0.953789279112754,0.9787556904400608,0.95,0.9148936170212766,0.996138996138996,0.9034040285025274,1.6447900026832938,901.116438073894,1.6551800010347486,872.2456663649286
RandomForestClassifier,0.9990338164251208,0.0021604521521737,0.9984585741811176,0.0034467329132944,1.0,1.0,1.0,1.0,1.0,1.0,31.18059999833348,39.79378067006712,29.3888850021176,41.70979198461647
ExtraTreesClassifier,0.9990338164251208,0.0021604521521737,0.9984585741811176,0.0034467329132944,1.0,1.0,1.0,1.0,1.0,1.0,28.755905001162315,51.56950632112318,29.338284997356823,47.24251911768471
AdaBoostClassifier,0.9990338164251208,0.0021604521521737196,0.9984585741811175,0.003446732913294455,0.9971070395371263,0.9976842917792358,0.997,0.9961464354527938,0.9980694980694981,0.993993774195937,11.958764999872074,106.2201567836815,11.185929999192009,111.8794118954724
GradientBoostingClassifier,0.9961628709454796,0.003992514431999693,0.9973046937569885,0.0032214905354727113,0.9570093457943926,0.975609756097561,0.954,0.927536231884058,0.9884169884169884,0.9097759728183797,1.6435349967650834,839.9479232343531,2.089495005202479,746.6620474242667
XGBClassifier,0.9951781474960578,3.900203886436236e-05,0.9957468027298116,0.003187333130524303,0.9856184084372004,0.9896033885252215,0.985,0.979047619047619,0.9922779922779923,0.9700413145226586,3.4893750002083825,331.9450836618212,3.3347699947626084,342.9544046641248
LGBMClassifier,0.9990338164251208,0.0021604521521737196,0.9984585741811175,0.003446732913294455,0.9980694980694981,0.9980694980694981,0.998,0.9980694980694981,0.9980694980694981,0.9959948092728176,3.9978600019821897,367.09904203121675,3.9213850006490243,341.38070058017263
