task,model,mean_extracted_victims_per_tweet,f1_weighted,critical_under_triage_rate,qwk,triage_accuracy,f2_weighted,under_triage_rate,over_triage_rate,ur_ci_lower_95,ur_ci_upper_95,ur_ci_str
People Extraction (3.1),Method 3.1a (Rule-based Clause Splitter),4.424,0.88,0.0,,,,,,,,
Pediatric Triage (3.2),PediatricIITTRules,,0.3750576725069946,0.6641221374045801,0.19750299781335967,0.3896457765667575,0.3773080166160835,0.44686648501362397,0.16348773841961853,0.5794373980121643,0.7479705827592626,66.41% [57.94% - 74.80%]
Pediatric Triage (3.2),DummyClassifier,,0.18779204009498482,0.0,0.0,0.3569482288828338,0.26240301898794177,0.0,0.6430517711171662,0.0,0.0,0.00% [0.00% - 0.00%]
Pediatric Triage (3.2),LogisticRegression,,0.8518950163212955,0.22900763358778625,0.7596705076801121,0.8528610354223434,0.8517181827941303,0.08719346049046321,0.05994550408719346,0.1605769766534797,0.30362677095631635,22.90% [16.06% - 30.36%]
Pediatric Triage (3.2),RandomForestClassifier,,0.7942857573965301,0.2366412213740458,0.7142857142857143,0.7956403269754768,0.7947113711186011,0.10626702997275204,0.09809264305177112,0.16146825396825398,0.3100907329105003,23.66% [16.15% - 31.01%]
Pediatric Triage (3.2),XGBClassifier,,0.7333031618858022,0.4122137404580153,0.6588815845064473,0.7384196185286104,0.7351583654360192,0.17438692098092642,0.08719346049046321,0.3259217171717172,0.4878190584231423,41.22% [32.59% - 48.78%]
Pediatric Triage (3.2),LGBMClassifier,,0.7374322284797955,0.3816793893129771,0.6515809813141523,0.7411444141689373,0.7389094481477855,0.15803814713896458,0.1008174386920981,0.30232139869499747,0.458347602739726,38.17% [30.23% - 45.83%]
Pediatric Triage (3.2),CatBoostClassifier,,0.14952457403868985,1.0,0.0,0.3133514986376022,0.2178683333937379,0.6866485013623979,0.0,1.0,1.0,100.00% [100.00% - 100.00%]
Adult Triage (3.3),AdultIITTRules,,0.36855492018776886,0.6199095022624435,0.15579523170605836,0.39473684210526316,0.37861060898208854,0.3786549707602339,0.22660818713450293,0.5545702892756832,0.6789168967667231,61.99% [55.46% - 67.89%]
Adult Triage (3.3),DummyClassifier,,0.18758822343214357,1.0,0.0,0.3567251461988304,0.2621714929895019,0.3230994152046784,0.3201754385964912,1.0,1.0,100.00% [100.00% - 100.00%]
Adult Triage (3.3),LogisticRegression,,0.7705505021294496,0.21266968325791855,0.6628423977768956,0.77046783625731,0.77042041867358,0.10380116959064327,0.12573099415204678,0.15863486842105262,0.26840127465127467,21.27% [15.86% - 26.84%]
Adult Triage (3.3),RandomForestClassifier,,0.7328492010368493,0.2986425339366516,0.637872658796079,0.7353801169590644,0.7331384342453767,0.1652046783625731,0.09941520467836257,0.2409090909090909,0.3605397046081928,29.86% [24.09% - 36.05%]
